"UNIPROT","logFC_protein","AveExpr.x","t.x","P.Value.x","adj.P.Val.x","B.x","significant","category","SYMBOL","X","logFC_rna","AveExpr.y","t.y","P.Value.y","adj.P.Val.y","B.y","ENTREZID","GENENAME","status"
"P26038",1.50747009278873,0.747999262815674,5.0023511044552,0.000208221886212585,0.0302962844439311,0.906554921313753,TRUE,"Upregulated","MSN","233749_at",-0.387761849664387,2.93992419883475,-0.940361186377262,0.348469829668227,0.626564442406917,-5.83134121457313,4478,"moesin","Discordant"
"O95817",1.79680627771944,0.808833133207909,4.96715142063712,0.000222057320114172,0.0307708000729638,0.847315230398196,TRUE,"Upregulated","BAG3","217911_s_at",0.730798224289725,8.76017827335093,1.62941652280242,0.105219851813167,0.332383939281443,-4.98218759246725,9531,"BAG cochaperone 3","Concordant"
"Q6ZVC0",2.19609174102808,1.46608716347609,4.85711680043634,0.000271797504110401,0.0359513971346031,0.660966798372818,TRUE,"Upregulated","NYAP1","1553288_a_at",1.19967200539381,7.32785548779167,3.49854077569936,0.000608054077321944,0.0124934910522231,-0.548202360173724,222950,"neuronal tyrosine phosphorylated phosphoinositide-3-kinase adaptor 1","Concordant"
"Q8IXT5",-2.09797686509492,0.872937697113293,-4.80928833157754,0.000296898111072205,0.0375640653573963,0.579427184427843,TRUE,"Downregulated","RBM12B","51228_at",0.723585479277387,6.76235439378677,2.13030849216948,0.034696539538436,0.174818733287694,-4.0896798295222,389677,"RNA binding motif protein 12B","Discordant"
"P04271",1.71388575367321,0.749189640078841,4.75486370355376,0.000328405033522718,0.0385186772641815,0.48625307498896,TRUE,"Upregulated","S100B","209686_at",-1.72283711112049,8.63902687017218,-3.71931693950272,0.000277202080534302,0.00737269765752473,0.163748118697266,6285,"S100 calcium binding protein B","Discordant"
"P07305",1.61925652884024,-1.00809102244644,4.72810388685834,0.000345147415638454,0.0385186772641815,0.440291043866018,TRUE,"Upregulated","H1-0","208886_at",0.236024451781805,8.77813219305347,0.822451397449523,0.41206130387497,0.67954655377928,-5.93166110347555,3005,"H1.0 linker histone","Concordant"
"P30041",1.57571359752584,0.807986267245132,4.72761295708521,0.000345462692157625,0.0385186772641815,0.439446922104587,TRUE,"Upregulated","PRDX6","200844_s_at",-0.809679589951235,8.97375229915631,-2.52390779406904,0.0125946173819324,0.0931720696707431,-3.23173682400514,9588,"peroxiredoxin 6","Discordant"
"O14531",-0.963182071251238,0.190676885277337,-4.70718152418844,0.000358851690781857,0.0385186772641815,0.404287428580869,TRUE,"Not Significant","DPYSL4","214301_s_at",1.8453585168984,4.46725133905374,3.55729115125758,0.000495060789114783,0.0109101700184408,-0.362334381015523,10570,"dihydropyrimidinase like 4","Discordant"
"P02763",2.40650209229386,-0.0981317251218147,4.66043362890263,0.000391544668700248,0.0385186772641815,0.323630185814877,TRUE,"Upregulated","ORM1","205041_s_at",0.421438627773256,3.16611646465981,0.691934450626158,0.489995518903867,0.737774515990733,-6.0271846007164,5004,"orosomucoid 1","Concordant"
"Q13228",1.44243668735029,0.591976322694754,4.63533588987604,0.00041035280571831,0.0385186772641815,0.280207771681268,TRUE,"Upregulated","SELENBP1","214433_s_at",0.141679155532754,7.19769440517761,0.38666886634765,0.69952237528496,0.865939789734511,-6.1865872878902,8991,"selenium binding protein 1","Concordant"
"Q14CZ8",1.32013580434882,0.231475013164384,4.6346932301676,0.00041084649630726,0.0385186772641815,0.27909479905626,TRUE,"Upregulated","HEPACAM","238003_at",-0.337718959525523,10.0251082036556,-0.803497511563431,0.422896117830689,0.687999712359427,-5.94654699700637,220296,"hepatic and glial cell adhesion molecule","Discordant"
"Q9H3N1",1.59409564326819,-0.680514800738821,4.60639668603304,0.000433203820585291,0.0385186772641815,0.230036862420167,TRUE,"Upregulated","TMX1","208097_s_at",1.06317775092161,4.49417793053616,1.7869161888345,0.0758710532387068,0.276678724243148,-4.72607720693448,81542,"thioredoxin related transmembrane protein 1","Concordant"
"P61916",1.33215020942489,0.676625145838033,4.60192668425882,0.000436848966493686,0.0385186772641815,0.222277693123542,TRUE,"Upregulated","NPC2","200701_at",-0.955633251239396,8.05372374475033,-3.05774761051069,0.00262026467768705,0.0338073404652544,-1.85722826614936,10577,"NPC intracellular cholesterol transporter 2","Discordant"
"P17096",1.88518171948535,-1.17805852409369,4.59216231605294,0.000444922135140032,0.0385186772641815,0.205319446942587,TRUE,"Upregulated","HMGA1","229622_at",1.36218249339323,6.60409084280491,2.98934551815504,0.00324396678563596,0.0387806380367263,-2.04650617574925,3159,"high mobility group AT-hook 1","Concordant"
"Q15847",1.95375064241589,1.59064598948566,4.58605909529108,0.000450046401024801,0.0385186772641815,0.194713475013343,TRUE,"Upregulated","ADIRF","203571_s_at",-0.295661480239537,6.52246793693226,-0.48200340412774,0.630471493319086,0.827648013347178,-6.14646248356257,10974,"adipogenesis regulatory factor","Discordant"
"Q99963",-1.3159011123119,0.152241049045042,-4.51712045662846,0.000512344296976707,0.0425977686914919,0.0745866941179756,TRUE,"Downregulated","SH3GL3","205637_s_at",-1.20941234827572,9.57944936485477,-3.19132747207973,0.00170916920499608,0.0252417012524834,-1.47672465469807,6457,"SH3 domain containing GRB2 like 3, endophilin A3","Concordant"
"Q01469",1.27282183804444,1.04890654981234,4.45954847673222,0.000571165170393875,0.0461691846068382,-0.026184274358874,TRUE,"Upregulated","FABP5","202345_s_at",-1.54458305541289,8.19027531906206,-3.3340441158708,0.00106676439134204,0.0182257600298407,-1.05453048421691,2171,"fatty acid binding protein 5","Discordant"
"P04083",2.64730020601373,1.29032346266463,4.42323937529075,0.000611802365667648,0.0468596733316216,-0.0899425734915447,TRUE,"Upregulated","ANXA1","201012_at",-0.527750957158276,5.87648481479254,-0.890285406438847,0.374668211278657,0.649833234609018,-5.87556932627417,301,"annexin A1","Discordant"
"P31146",-1.45839812581652,0.363482665336048,-4.42314372908554,0.000611913260000557,0.0468596733316216,-0.0901107322845256,TRUE,"Downregulated","CORO1A","209083_at",-0.294671087130745,6.73883960637694,-0.538599776406573,0.590922140871821,0.804214280370464,-6.11848864475707,11151,"coronin 1A","Concordant"
"P13796",1.4771202274143,0.354361902776991,4.39645846546863,0.000643676042569556,0.0477203219056578,-0.137068585551958,TRUE,"Upregulated","LCP1","208885_at",1.64524259601262,5.77281385724264,3.21384763962406,0.00158826562463987,0.0240535383856593,-1.41117226463721,3936,"lymphocyte cytosolic protein 1","Concordant"
"P02790",1.65796050389024,0.15287338719163,4.37350940759014,0.000672348178052223,0.0477203219056578,-0.17751746990032,TRUE,"Upregulated","HPX","39763_at",0.692216361798187,5.52400191834194,1.5072364114204,0.133749767633096,0.381820776245773,-5.16514346858527,3263,"hemopexin","Concordant"
"Q9UBI6",1.57286434192415,1.55406418443019,4.35072162764811,0.000702121131888341,0.0478181670791358,-0.217741172372721,TRUE,"Upregulated","GNG12","222834_s_at",1.79364828071874,5.8619926749753,2.78215974819646,0.00605885370561015,0.0580666068865673,-2.59644290008054,55970,"G protein subunit gamma 12","Concordant"
"P24534",-1.22317724927198,0.124131966299125,-4.34588667941839,0.000708610713146281,0.0478181670791358,-0.226283033865014,TRUE,"Downregulated","EEF1B2","200705_s_at",-0.691434863995378,9.7261244815849,-2.30472921131981,0.0224853395699274,0.1340038668632,-3.72617391903194,1933,"eukaryotic translation elongation factor 1 beta 2","Concordant"
"Q9UPY8",-1.0097067417599,-0.0721730318101351,-4.31554518736025,0.000750769129064765,0.0478181670791358,-0.279946085531965,TRUE,"Downregulated","MAPRE3","214270_s_at",-1.25883086796199,4.79505447830691,-2.20383742941265,0.0289843323385447,0.15628964739435,-3.93970887140267,22924,"microtubule associated protein RP/EB family member 3","Concordant"
"P30626",1.05000383894585,0.216009149050524,4.30372042330476,0.000767890111791554,0.0478181670791358,-0.300887037438431,TRUE,"Upregulated","SRI","208920_at",-1.19464789058603,8.34448648246247,-3.46695958709641,0.000678396121527544,0.0133980575709678,-0.647027574034888,6717,"sorcin","Discordant"
"P27816",1.02948100072512,0.591037713669258,4.29574455007973,0.000779664543375261,0.0478181670791358,-0.315020357407207,TRUE,"Upregulated","MAP4","235066_at",-2.05686865946471,9.08181332788148,-3.20971643056922,0.00160983173686324,0.0242780159693729,-1.42322765352918,4134,"microtubule associated protein 4","Discordant"
"Q9NSD9",-1.28540879716813,-0.381372002993084,-4.27570808198821,0.000810069132835503,0.0478181670791358,-0.350555148771461,TRUE,"Downregulated","FARSB","223035_s_at",-0.610602708314534,9.68342676699151,-1.96048267020215,0.0517005566919607,0.22132126062015,-4.41767200040227,10056,"phenylalanyl-tRNA synthetase subunit beta","Concordant"
"P09496",-1.13629044545406,-0.247786647176915,-4.26953117411521,0.000819686020732115,0.0478181670791358,-0.361518504434381,TRUE,"Downregulated","CLTA","204050_s_at",-1.0361069721248,8.64309930959881,-2.81515375682941,0.00549734110968021,0.0546923587187114,-2.51124083896121,1211,"clathrin light chain A","Concordant"
"O14495",1.16248762596595,0.331990906564616,4.25689117110677,0.00083973265080005,0.0478181670791358,-0.383965632548544,TRUE,"Upregulated","PLPP3","209355_s_at",-0.70919995834913,7.23272218544096,-1.24135217657917,0.216318091050347,0.49343898741887,-5.51528981055829,8613,"phospholipid phosphatase 3","Discordant"
"Q6YHK3",1.65042131803689,0.61815955120962,4.25374345956815,0.00084480268795525,0.0478181670791358,-0.38955817928248,TRUE,"Upregulated","CD109","226545_at",0.509232276249868,6.7699390800597,1.18285485110008,0.238646081860381,0.519445529510157,-5.58342690038519,135228,"CD109 molecule","Concordant"
"Q15165",1.08892578768123,0.96055993099206,4.25255232809521,0.000846729440379268,0.0478181670791358,-0.391674733443749,TRUE,"Upregulated","PON2","242700_at",2.63303276392338,4.53088257132334,3.8672797746417,0.000160575382173696,0.0050796139454973,0.661157934283255,5445,"paraoxonase 2","Concordant"
"P28838",1.17611741581427,0.807238774251432,4.24778717874241,0.00085448271069246,0.0478181670791358,-0.400143525933216,TRUE,"Upregulated","LAP3","217933_s_at",-1.6313113899288,7.61324731066694,-3.48376266207095,0.000640071044186526,0.0128783316159861,-0.59454167936001,51056,"leucine aminopeptidase 3","Discordant"
